name,meaning
বর্ণাঢ্য-২০,বর্ণাঢ্য অর্থ রঙিন। আমরা ২০ ব্যাচ এই বুয়েট ইতিহাসের একটি বর্ণাঢ্য ব্যাচ হিসাবেই রয়েছি। Covid এর পর আমরাই ক্যাম্পাস এ প্রবেশ করা প্রথম ব্যাচ। এই ক্যাম্পাস এ covid এর অনলাইন ক্লাস এর সাদা কালো ছবি থেকে সেই পুরাতন বুয়েট ফিরে পাবার জন্য ক্যাম্পাস এ আমাদের প্রবেশ করেছিল আমাদের বুয়েট কে রঙিন। তাই এই নামটি আমাদের সাথে ব্যাচ এর সাথে যায়।
বর্ণাভ'২০,It means rainbow. The name itself will resemble the radiance of the batch. 
বর্ণালি, বিভিন্ন বর্ণের আলোর সমাহার
বর্ণালী ২০,"২০ ব্যাচের পটেনশিয়াল সবচেয়ে বেশি মনে হয় আমার কাছে। এখানে সব ধরণের পোলাপাইন এক্সিস্ট করে, আলোর সাত বর্ণের বর্ণালীর মতো। সে থেকে বর্ণালী ২০"
বর্ণিল,Multicolored logo and wall
বর্ণিল ২০,"বর্ণিল means combination of different colors.Till now we have went through different experiences and phases in our life.Each incident has specific color, stories. Each of us represens different color.So I guess we blend them all together.."
বর্তিকা ২০,বর্তিকা হল মোমবাতির মাথায় আলোকে ধারণ করা সলতে। বুয়েটের প্রায় সকল ক্রান্তিলগ্নে বিশ ব্যাচ অন্যায়ের বিরুদ্ধে প্রদীপের মত জ্বলে উঠেছিল এবং বর্তিকার  মত অটল ছিল তাই ২০ ব্যাচের নাম বর্তিকা ২০ হতে পারে
বহুদূর'২০,We have a long long way. BUET life is just a first step of eternity. 
বহুব্রীহি'২০,"বহুব্রীহির মানে হলো ভিন্নতা,প্রচলিত অর্থের বাইরের কোনো অর্থ।  এই ভিন্নতা আমাদের ব্যাচের সাথে ওতপ্রোতভাবে জড়িত। এডমিশন সিস্টেম,একাডেমিক ক্যালেন্ডার,অনলাইন ক্লাস সবটুকুর শুরুই হয় ভিন্ন পদ্ধতিতে। বুয়েটে শিক্ষার্থের দাবী দাওয়াসহ বিভিন্ন অভ্যন্তরীন সিদ্ধান্তে আমরা সর্বদা একনিষ্ঠ ছিলাম যেকোন অপ্রসাংগিক সিদ্ধান্তে স্রোতের সাথে গা না ভাসিয়ে আমরা বিভিন্নভাবে প্রতিবাদ করার চেষ্টা করি।  ব্যাপক সমালোচনার পরও আমরা আমাদের দৃঢ় সিদ্ধান্তে অবিচল থাকি। এই যে এত ভিন্নতার মধ্যে দিয়ে আমরা আজ সূর্যাস্তের শুরুটা দেখতে যাচ্ছি,এটাই আমাদের ""বহুব্রীহি"" নামের সার্থকতা।

Related to BISH B and 
Full/rich in the sense of wisdom(বহুব্রীহি - বহু ধান আছে যার), want to portrait 20 as full of wisdom instead of crops in the name বহুব্রীহি"
বহুমাত্রিক,"আমাদের এই ব্যাচটা সবকিছুরই সম্মুখীন হইছে,৭১ এর পরে প্রথম অটোপাশ দেখছি,করোনা মহামারীর প্রকোপ দেখছি,বুয়েটের প্রথম টার্ম ফাইনাল পেছানো দেখছি,অনলাইন-অফলাইন ক্লাস দেখছি,ফ্যাসিস্টের উত্থান পতন দেখছি....সব মিলায় বহু কিছুর সম্মুখীন হইছি ,,বহু মাত্রা যোগ হইছে"
বহ্নি ২০,"বহ্নির তীব্রতাকে ধারণ করে চারদিকের অশুভ শক্তি কে দমিয়ে নতুন ভবিষ্যতের আকাঙ্ক্ষা, Cause 20 batch is fireee, 20 like raging fire,19 like smoldering fire -hulk😬"
বহ্নিশিখা'২০,"তীব্রতা, উদ্যম, এবং উজ্জ্বলতার প্রতীক। জীবনের জ্বলন্ত আকাঙ্ক্ষা, সাহস, ও অপ্রতিরোধ্য শক্তিকে উপস্থাপন করে, The fire inside us, সত্য ও ন্যায় এর পক্ষে সর্বদা সোচ্চার"
বাগ্মী-২০,২০ ব্যাচ সর্বদাই যুক্তি দিয়ে সবকিছুর সিদ্ধান্ত নিয়েছে। যুক্তি দিয়ে সবাইকে ঠিক ভুল বুঝিয়েছে। তাই তারা যুক্তিবাদী-বাগ্মী।
বারুদ ২০ ,
বিজয়ন্ত -২০,"  বীর, বিজয়ী"
বিদিত,বিদিত মানে বুদ্ধিমান 
বিদ্যোত ২০,"প্রভা, দ্যুতি"
বিদ্রোহী ,"বুয়েট '২০ ব্যাচ প্রতিবাদ করে বেয়াদব ট্যাগ পেয়েছে, কিন্তু চুপ করে যায়নি। তাদের সাথে বিদ্রোহ, বিদ্রোহী - এই কথাগুলো ভালো যায়। তাছাড়া জাতীয় কবি কাজী নজরুল ইসলামের কবিতা আছে ""বিদ্রোহী""। ""আমি চির-বিদ্রোহী বীর – বিশ্ব ছাড়ায়ে উঠিয়াছি একা চির-উন্নত শির!"" আমরা ২০ ব্যাচ অনেক সংগ্রামী, ছাত্র রাজনীতি বিরোধী , আবার সরকার পতনেও আমরা ভালো ভুমিকা রাখছি , তাই বিপ্লবী বা ইনকিলাব  বা বিদ্রোহী  নামগুলো ভালো 20 always stood against the flow and revolted against any syndicate from within or the senior, junior batches, so that makes us বিদ্রোহী ✌️
জুলাই বিপ্লব 
20 is and always has been a rebellious batch criticizing any questionable steps
seniors think we are beyadop
যেকোনো অন্যায্য কর্মকাণ্ডের বিরুদ্ধে প্রতিবাদী চেতনা স্বরূপ 
বুয়েটের যেকোনো অন্যায় সিদ্ধান্তে প্রতিবাদী ভূমিকা"
বিন্দুবৃত্ত'২০,"""ক্ষুদ্র ক্ষুদ্র বালুকণা, বিন্দু বিন্দু জল; গড়ে তোলে মহাদেশ, সাগর অতল!""  বিন্দুবৃত্ত (Point Circle) কী, সেটা আমরা সবাই জানি। বিন্দুবৃত্তকে আমরা একটি কেন্দ্রবিন্দুর সাথে তুলনা করতে পারি। ২০ ব্যাচের একটি অনন্য বৈশিষ্ট্য হলো, ২০ ব্যাচ তাদের আগমনের পর থেকে প্রতিটি গুরুত্বপূর্ণ আন্দোলনে সোচ্চার থেকে মুখ্য ভূমিকা পালন করে এসেছে। নানাবিধ অন্যায়, অসঙ্গতি, পলিটিক্যাল ইস্যুজ প্রভৃতি ক্ষেত্রে সাহসিকতার সাথে zero tolerance show করেছে, যেটা অনেকক্ষেত্রেই অনেক ব্যাচ Unitedly করেনি।  মূলকথা, ২০ ব্যাচ তাদের বুয়েটে আবির্ভাবের পর থেকে প্রতিটি বিপ্লবের কেন্দ্রবিন্দু তথা ""বিন্দুবৃত্ত"" হয়ে সবার কাছে ধরা দিয়েছে।"
"বিপাশ্বিক'২০   
","1)Meaning ""all-encompassing,"" symbolizing inclusivity, harmony, and equality for all people.      
"
বিপ্রতীপ ২০,"বিপ্রতীপ ২০ নামটি প্রতীক যে কোনও প্রচলিত ধারা বা নিয়মের বিরুদ্ধে চলার সাহসী মনোভাবের। এটি বোঝায় যে, এই ব্যাচ গতানুগতিক চিন্তাধারাকে প্রশ্ন করে, নতুনকে গ্রহণ করতে এবং সৃষ্টিশীলতাকে উৎসাহিত করতে দৃঢ়প্রতিজ্ঞ। এখানে নামটি এমন একটি ভাবনার প্রতিফলন, যা বিদ্যমান সীমানা অতিক্রম করতে এবং চিরাচরিত ধ্যানধারণার বাইরে গিয়ে নিজস্ব একটি পথ তৈরি করতে সংকল্পবদ্ধ। ২০ batch has seen it all:COVID, fall of fascist regime...you name it. We stood againt every darkness.  বিপ্রতীপ অর্থ বিরুদ্ধ বা বিপরীত 
আভিধানিক অর্থ সম্পূর্ণ বিপরীত। সকল প্রকার অন্যায় এর বিপরীতে ২০ এর অবস্থান কে বুঝানো।  প্রতিকূল- revolutionary & always walking against the flow
Viewing scenarios/issues from the other side.On the different aspects of a story"
বিপ্লব'20,"জুলাই বিপ্লবের মত ঐতিহাসিক ঘটনার সাক্ষী হয়েছি আমরা এই বছর। তাছাড়াও বুয়েটের যেকোনো ইস্যুতে '২০ ব্যাচ বরাবরই বলিষ্ঠ আওয়াজ তুলেছে, যা ব্যাচের বিপ্লবী, অন্যায়ের বিরুদ্ধে সোচ্চারী মনোভাব তুলে ধরে। এজন্যই এই নাম ""বিপ্লব'২০"" Same as the first one.
as in this year the autocratic govt fled away from the country and this was a revolution indeed so in order to commemorate that we can keep this name 
 always vocal and resistive Against any odd"
বিবর্তন-২০,"বিবর্তন অর্থ পরিবর্তন। ২০ ব্যাচ আমাদের বুয়েট ক্যাম্পাসের অনেক গুলো পরিবর্তনের সাক্ষী ছিল। তারা এই ক্যাম্পাসের অনেক কিছুতে শুধু যে পরিবর্তন এনেছে, এনেছে নতুনত্বের ছোঁয়া। তাই আমি মনে করি এই নামটি আমাদের batch এর সাথে যায়। পরিবর্তনশীলতা, উন্নতির প্রতীক এবং বর্ধনশীল সত্তার প্রতিফলন করে।"
বিভাস ২০ ,আভিধানিক অর্থ উজ্জ্বল প্রকাশ বা দিবার প্রথম প্রহরে গেয় সংগীত। ২০ এর সর্বদা সব অন্যায়ের বিরুদ্ধে সমুজ্জ্বল প্রতিবাদ কে তুলে ধরা। 
বিমূর্ত,
বিমৃষ্য ২০ ,"বিমৃষ্য অর্থ বিবেচক , সহনশীল . বিমৃষ্য অর্থ বিবেচনাকারী / দূরদর্শী"
বিশঙ্ক '২০,ক্যাম্পাসের সকল অন্যায়ের বিরুদ্ধে বিশ ব্যাচের স্ট্যান্স ছিল সবসময় নির্ভীক। 
বিংশতি'২০,bingshoti means 20
বিশাখ,"উৎকৃষ্ট, বলশালী, অপরাজেয় যোদ্ধা । Also বিশ-দিয়ে শুরু "
বিষাণ,বিশ(২০) এর সাথে মিল আছে নামের।
বিষ্ময় ২০,"২০ ব্যাচের সাথে হওয়া বিষ্ময়কর জিনিসের মুলতো শেষ নাই এই যেমন: HSC অটোপাশ,, বুয়েট লাইফের শুরুটাই অনলাইনে,, মিড ব্রেক ছাড়া টার্ম শেষ করা,,১২ সপ্তাহের টার্ম ইত্যাদি ইত্যাদি  এমন হাজারো উদাহরণ দেওয়া যাবে।। "
বিসদৃশ ২০,আভিধানিক অর্থ অন্যরকম ।  it also means as  same as the upper one. 
বিসদৃশ'২০,"বিসদৃশ অর্থ Unique/আলাদা। বুয়েটের ইতিহাসে ২০ ব্যাচের মতো এতটা Different ব্যাচ আর দেখা যায়নি। HSC নিয়ে মাসের পর মাস অনিশ্চয়তা, অত:পর অটোপাশ, করোনাকালীন ভর্তিযুদ্ধ, ভর্তি পরীক্ষায় প্রথমবারের মতো two/three tiers of filtering, এরপর অনলাইনে বুয়েট জীবনের শুরু এবং বুয়েটের সকল যৌক্তিক প্রতিবাদ ও বিপ্লবে অনন্য ভূমিকা পালন করা। কঠিন থেকে কঠিনতর ধাপ উতরিয়ে ২০ ব্যাচ দেখিয়েছে তাদের unparallel power of protest, power of resistance! তাই এই ব্যাচের সাথে অন্য কোনো ব্যাচেরই মিল নেই। ২০ ব্যাচ তাই বিসদৃশ, সবার থেকে আলাদা!"
বিসর্গ ২০,"সংস্কৃতে বিসর্গ শব্দের অর্থ নির্গমন বা বিসর্জন।যা অশুভ ছিলো তা বিসর্জন করে আমরা একটি নতুন বুয়েট পেয়েছি আর আমাদের ২০ ব্যাচ ছিলো এই পরিবর্তনে অগ্রগামী। আবার বিসর্গ শব্দের আরকেটি অর্থ সৃষ্টি বা উৎপত্তি। বিসর্গ কে বাংলা বর্ণমালায় সংশোধক বর্ন বলা হয়ে থাকে। ঠিক তেমনি ২০ ব্যাচ সব সময় যেকোনো পরিস্থিতিতে সব ধরনের অন্যায় এর প্রতি সংশোধক এর ভূমিকা পালন করে আসছে। 
বিসর্গ চিহ্নের ন্যায় আমাদের ছাড়া অসম্পূর্ণ অনেক কিছুই।এই চিহ্নের ন্যায় যথাযথ ব্যাখার মূখপাত্র ২০ ব্যাচ।
No theme, this name just felt good with 20.
বিসর্গ নামটা মূলত প্রচলিত নিয়ম বা কাঠামো থেকে বিচ্যুত এমন অর্থে ব্যবহৃত হয়।(আমার জানা মতে, শতভাগ শিওর না যদিও)।আমাদের ব্যাচের অন্যায়ের বিরুদ্ধে প্রতিবাদী অবস্থান বা অন্যান্য ব্যাচ থেকে আলাদা ভাবনা থেকে আরকি এই নাম।"
বিস্ময় ২০,"নামটা সুন্দর মনে হলো, সিলেক্ট হলে পরে থিম বানিয়ে নিও :')"
বিস্ময়ে অবিস্মরণীয় ২০,  প্রথমে করনা ফেস করা  এবং পরে বেয়াদ্দম ২০ নাম পাওয়া। সব মিলিয়ে এই নাম
বিস্মরণী'২০,"বিস্মরণী captures the essence of overcoming adversity, moving forward with renewed purpose, and dedicating oneself to creating a more just and equitable society."
বিস্রুত-২০,এটার অর্থ হল পরিশ্রুত। এতকিছুর পরে আমরা যখন একটা বিশুদ্ধ ক্যাম্পাস পেয়েছি এই মর্মার্থ ধারণ করবে এই শব্দটি
বিহঙ্গ,Free bird each and every student. 
বিহঙ্গ ২০,"আবরার ভাই এর ত্যাগের পর ২০ ব্যাচ থেকে বুয়েট পেয়েছে স্বাধীনতা, ঠিক আকাশে উরন্ত পাখির মতো। সেই থেকে বিহঙ্গ ২০।"
বিহঙ্গম'২০,"বিহঙ্গম (Bihongom), derived from the word বিহঙ্গ (Bihonga), means ""bird"" or something related to a bird. When used poetically, বিহঙ্গম evokes a sense of boundless freedom, high ambition, and a perspective that soars above the ordinary"
বিহ্বল,"বিহ্বলতা মানুষের মানুষের সুন্দরতম অনুভূতি।আমাদের সব ন্যায়সঙ্গত আন্দোলনের চালিকা শক্তি ছিলো এই বিহবলতা। আমরা বিহবল থাকি এই ক্যাম্পাসের হৈ-হুল্লোড় দুপুর, স্নিগ্ধ সন্ধ্যা, গানমুখরিত রাতে। কদিন বাদে হয়তো  ছন্নছাড়ার দল দেশের নানা প্রান্তে, বিদেশ-বিভূইয়ে পাড়ি জমাবে কিন্তু এই ক্যাম্পাসজীবনের ঘোর কি কাটবে? "
বীরদর্প ২০,You know why
বৃত্ত' ২০,"বৃত্তের মাঝে অসংখ্য বিন্দু পাশাপাশি হয়ে একটি ক্ষেত্রফল দখল করে, এটি যেন আমাদের ঐক্যবদ্ধতার প্রকাশ করে। আমরা যদি ২০ সংখ্যাটির দিকে তাকাই, তাহলে এর মাঝেই একটি বৃত্ত খুজে পাবো (লোগো বানাতে সুবিধা হবে)। আর বৃত্ত একটি জিওমেট্রিক শেইপ, ইঞ্জিনিয়ারিং এর সাথে সম্পর্কযুক্ত।"
বৃত্তান্তে ২০,আবারও আমাদের সবকিছু মিলায় জীবনের বৃত্তান্তে ২০
বৃত্রসংহার,"বৃত্রসংহার মানে বৃত্রকে বধ করা,বিশ ব্যাচ সকল প্রকার সিন্ডিকেট থেখে শুরু করে সব অন্যায়ের সাথে লড়াকু এবং নিধনে অগ্রগামী "
